ticker,id
AUDCAD,"84, 59307, 9762, 59538"
AUDCHF,"17, 59236, 9689, 59539"
AUDDKK,59579
AUDHUF,59580
AUDJPY,"89, 59312, 9767, 59540"
AUDMXN,"55, 59281, 9735"
AUDNOK,59581
AUDNZD,"32, 59260, 59541, 9713"
AUDPLN,59582
AUDRUB,"87, 59310, 9765"
AUDSEK,"92, 59315, 9770"
AUDSGD,"59, 59285, 9739, 59349"
AUDUSD,"30, 59258, 9711, 59542"
AUDZAR,"5, 59224, 9677"
BYNRUB,"98, 59322, 9777"
CADCHF,"25, 59253, 9706, 59543"
CADCNH,"104, 59241, 9694"
CADJPY,"73, 59296, 59544, 9751"
CADMXN,59583
CADRUB,"13, 59232, 9685"
CADSGD,"59350, 59584"
CADZAR,59586
CHFCNH,"108, 59246, 9699"
CHFDKK,"22, 59250, 9703"
CHFHUF,59585
CHFJPY,"67, 59214"
CHFMXN,"62, 59286"
EURAUD,"54, 59216"
EURCHF,"26, 59254, 9707"
EURGBP,"76, 59299, 9754"
EURJPY,"52, 59326, 9781"
EURNOK,"86, 59309"
EURNZD,"83, 59306, 9761"
EURRUB,"27, 47885, 59255"
EURSGD,"49, 59277"
EURTRY,"16, 59235"
EURUSD,"47, 59275, 59631, 9728"
GBPAUD,"46, 59274"
GBPCHF,9782
GBPJPY,"35, 59263, 9716"
GBPNZD,"51, 59279"
GBPSEK,"60, 59317"
GBPUSD,"37, 59265, 59632, 9718"
NZDCAD,"7, 59226"
NZDUSD,"12, 59231, 9684"
USDCAD,"64, 47886, 59288, 9742"
USDCHF,"36, 59264, 9717"
USDCNH,"96, 59320, 9775"
USDJPY,"41, 59269, 9722"
USDMXN,"79, 59302"
USDNOK,"15, 59234, 9687"
USDRUB,"58, 47884, 59284"
USDSEK,"80, 59303, 9758"
USDSGD,"56, 59282"
USDZAR,"3, 59215, 59634, 9668"
XAGUSD,"113, 59240"
CAT,1155
USO,24621
AAPL,8115
GBTC,59676
FLOT,59511
META,4546
RMD,5519
MARA,6296
NET,3006
PLTR,6396
MSI,2514
VRTX,1654
INTC,8341
QQQ,2202
GLD,24473
GSG,25141
NIO,9352
NVDA,4711
TNA,31753
AIG,5668
AMGN,4649
ROKU,6472
SQQQ,1071
TLT,3802
TSLA,1291
XLP,24415
DOCU,5358
DVN,2248
FXY,24543
JD,6421
NFLX,6359
BA,1304
EOG,5561
FIVN,4875
FXPO,4780
MSFT,1370
SHV,5534
SYK,3073
UPS,1742
AMZN,8191
CLSK,8212
EL,3371
FCX,4526
INTU,3635
JPM,7582
KO,4085
MRK,6381
MS,1139
SOXS,34327
SPHD,33087
ALMN,48376
COPPER,"59522, 59532"
CORN,"59521, 48372"
COTTON,48375
Cocoa,48369
Coffee,48370
Copper,48377
NG,"59518, 48367, 59531"
SOYBEAN,"48373, 59520"
Sugar,48371
UKOil,"20228, 48366, 59616, 59361, 59527"
UKOilSpot,59525
USOil,"59620, 59362, 59617, 59526, 20227, 48368"
USOilSpot,59524
WHEAT,"48374, 59519"
XAGUSD,"20226, 59624, 59533, 48379"
XAGUSD.kg,59625
XAUUSD,"20225, 59534, 48380, 59618"
XAUUSD.kg,59619
XAUZAR,59633
XPDUSD,"59348, 48382"
XPTUSD,"59363, 48381"
Zinc,48378
